n03240683,'drilling platform,'0.7398478
n04435653,'tile roof,'2.511383e-05
n02111277,'Newfoundland,'2.4941455e-05
n03220513,'dome,'2.4767522e-05
n03899768,'patio,'2.445993e-05
n03594945,'jeep,'2.383685e-05
n01737021,'water snake,'2.3746681e-05
n02363005,'beaver,'2.3715837e-05
n04562935,'water tower,'2.3228558e-05
n02098286,'West Highland white terrier,'2.2840359e-05
n04548280,'wall clock,'2.2292777e-05
n01943899,'conch,'2.1776159e-05
n04482393,'tricycle,'2.1651787e-05
n04251144,'snorkel,'2.1596396e-05
n03782006,'monitor,'2.1438122e-05
n03998194,'prayer rug,'2.0556374e-05
n01498041,'stingray,'2.0363614e-05
n03776460,'mobile home,'1.988728e-05
n03017168,'chime,'1.9744e-05
n02104365,'schipperke,'1.9413072e-05
n03000134,'chainlink fence,'1.9017138e-05
n03649909,'lawn mower,'1.8934003e-05
n04118776,'rule,'1.8794794e-05
n04355338,'sundial,'1.7771286e-05
n04136333,'sarong,'1.7533466e-05
n02132136,'brown bear,'1.6974402e-05
n02442845,'mink,'1.6925682e-05
n02009912,'American egret,'1.6273234e-05
n01484850,'great white shark,'1.615647e-05
n02095889,'Sealyham terrier,'1.5692904e-05
n03710721,'maillot,'1.5635778e-05
